"id","latitude","longitude","phylum","order","family","genus","name","eventDate"
545439,46.7599983215332,-130.779998779297,"Chordata","Tetraodontiformes","Molidae","Mola","Mola mola",NA
267723772,39.733334,-57,"Chordata","Tetraodontiformes","Molidae","Mola","Mola mola",NA
267723773,39.733334,-57,"Chordata","Tetraodontiformes","Molidae","Mola","Mola mola",NA
267605308,45.099083,-67,"Chordata","Tetraodontiformes","Molidae","Mola","Mola mola","2013-08-19 10:00:00"
267720244,39.866665,-56,"Chordata","Tetraodontiformes","Molidae","Mola","Mola mola",NA
267723775,39.016666,-56,"Chordata","Tetraodontiformes","Molidae","Mola","Mola mola",NA
267723774,39.016666,-56,"Chordata","Tetraodontiformes","Molidae","Mola","Mola mola",NA
267605048,40.966667,-58,"Chordata","Tetraodontiformes","Molidae","Mola","Mola mola","1986-02-14 11:00:00"
3855458,45.132999420166,-66.3499984741211,"Chordata","Tetraodontiformes","Molidae","Mola","Mola mola",NA
3880040,47.4830017089844,-52.617000579834,"Chordata","Tetraodontiformes","Molidae","Mola","Mola mola",NA
3873430,50.6669998168945,-58.75,"Chordata","Tetraodontiformes","Molidae","Mola","Mola mola",NA
3882772,47.5830001831055,-52.6829986572266,"Chordata","Tetraodontiformes","Molidae","Mola","Mola mola",NA
3861802,48.8330001831055,-125.416999816895,"Chordata","Tetraodontiformes","Molidae","Mola","Mola mola",NA
3877098,46.3170013427734,-64.5169982910156,"Chordata","Tetraodontiformes","Molidae","Mola","Mola mola",NA
3874435,47.4830017089844,-52.617000579834,"Chordata","Tetraodontiformes","Molidae","Mola","Mola mola",NA
3886538,0,0,"Chordata","Tetraodontiformes","Molidae","Mola","Mola mola",NA
266186638,44.62,-63.97,"Chordata","Tetraodontiformes","Molidae","Mola","Mola mola",NA
2146444,44.8500003814698,-65.4000015258789,"Chordata","Tetraodontiformes","Molidae","Mola","Mola mola",NA
249600046,55.265,-8.273,"Chordata","Tetraodontiformes","Molidae","Mola","Mola mola","1995-07-21 10:00:00"
265201106,-39.7333,173.45,"Chordata","Tetraodontiformes","Molidae","Mola","Mola mola","1981-12-07 11:00:00"
265087487,-40.6233,172.81,"Chordata","Tetraodontiformes","Molidae","Mola","Mola mola","1983-01-26 11:00:00"
265406953,-46.8233,168.5883,"Chordata","Tetraodontiformes","Molidae","Mola","Mola mola","1977-02-08 11:00:00"
265202514,-52.1,172,"Chordata","Tetraodontiformes","Molidae","Mola","Mola mola","1982-04-17 10:00:00"
265359382,-44.2667,-178.9732,"Chordata","Tetraodontiformes","Molidae","Mola","Mola mola","1996-01-03 11:00:00"
265053499,-40.4777,172.5647,"Chordata","Tetraodontiformes","Molidae","Mola","Mola mola","1990-02-17 11:00:00"
265214841,-36.1738,176.782,"Chordata","Tetraodontiformes","Molidae","Mola","Mola mola","1998-06-20 10:00:00"
265150678,-41.33,175.9107,"Chordata","Tetraodontiformes","Molidae","Mola","Mola mola","1993-03-12 11:00:00"
9006099,6,-134,"Chordata","Tetraodontiformes","Molidae","Mola","Mola mola","1957-01-15 11:00:00"
7613087,54.9099998474121,-165.160003662109,"Chordata","Tetraodontiformes","Molidae","Mola","Mola mola","1997-07-02 10:00:00"
7939503,27,51,"Chordata","Tetraodontiformes","Molidae","Mola","Mola mola","1758-07-02 11:42:30"
2455243,-20.6152782440186,55.2305564880371,"Chordata","Tetraodontiformes","Molidae","Mola","Mola mola","1758-07-02 11:42:30"
7495797,-20.6152782440186,55.2305564880371,"Chordata","Tetraodontiformes","Molidae","Mola","Mola mola","1758-07-02 11:42:30"
7758097,18.9750003814697,72.8258361816406,"Chordata","Tetraodontiformes","Molidae","Mola","Mola mola","1758-07-02 11:42:30"
5665643,-34.2799987792969,151.300003051758,"Chordata","Tetraodontiformes","Molidae","Mola","Mola mola","2002-06-27 10:00:00"
11611108,-34.2799987792969,151.300003051758,"Chordata","Tetraodontiformes","Molidae","Mola","Mola mola","2002-06-27 10:00:00"
8643346,-34.2799987792969,151.300003051758,"Chordata","Tetraodontiformes","Molidae","Mola","Mola mola","2002-06-27 10:00:00"
999114,-34.2799987792969,151.300003051758,"Chordata","Tetraodontiformes","Molidae","Mola","Mola mola","2002-06-27 10:00:00"
958827,-34.9500007629395,150.729995727539,"Chordata","Tetraodontiformes","Molidae","Mola","Mola mola","1998-06-29 10:00:00"
9832251,-32.2000007629395,151.279998779297,"Chordata","Tetraodontiformes","Molidae","Mola","Mola mola","1890-07-02 11:42:30"
428744,-34.9500007629395,150.729995727539,"Chordata","Tetraodontiformes","Molidae","Mola","Mola mola","1998-06-29 10:00:00"
8361251,-32.2000007629395,151.279998779297,"Chordata","Tetraodontiformes","Molidae","Mola","Mola mola","1908-07-02 12:00:00"
11268328,-34.2799987792969,151.300003051758,"Chordata","Tetraodontiformes","Molidae","Mola","Mola mola","2002-06-27 10:00:00"
8502398,-31,153,"Chordata","Tetraodontiformes","Molidae","Mola","Mola mola","1985-07-02 10:00:00"
9932394,-34.2799987792969,151.300003051758,"Chordata","Tetraodontiformes","Molidae","Mola","Mola mola","2002-06-27 10:00:00"
5947202,-34.2799987792969,151.300003051758,"Chordata","Tetraodontiformes","Molidae","Mola","Mola mola","2002-06-27 10:00:00"
243028,-38.1666984558105,144.350006103516,"Chordata","Tetraodontiformes","Molidae","Mola","Mola mola","1873-09-01 11:42:30"
6413987,-37.8499984741211,144.933303833008,"Chordata","Tetraodontiformes","Molidae","Mola","Mola mola","1879-10-01 11:42:30"
10538827,-37.86669921875,144.816696166992,"Chordata","Tetraodontiformes","Molidae","Mola","Mola mola","1995-08-28 10:00:00"
257840271,51.6801803358745,-5.17184040747359,"Chordata","Tetraodontiformes","Molidae","Mola","Mola mola","1960-06-06 11:00:00"
257869075,51.7176012807262,-5.28307801206825,"Chordata","Tetraodontiformes","Molidae","Mola","Mola mola","1986-10-10 11:00:00"
257844436,51.6475168897877,-4.71698944708658,"Chordata","Tetraodontiformes","Molidae","Mola","Mola mola","1986-10-10 11:00:00"
257847418,51.7486086630406,-5.26793694859277,"Chordata","Tetraodontiformes","Molidae","Mola","Mola mola","1986-10-10 11:00:00"
257834982,51.7421632917559,-5.27326756909708,"Chordata","Tetraodontiformes","Molidae","Mola","Mola mola","1990-07-28 10:00:00"
257872627,51.7150969736375,-4.632712953557,"Chordata","Tetraodontiformes","Molidae","Mola","Mola mola","1986-10-10 11:00:00"
257874791,51.8021292205536,-5.15283197405512,"Chordata","Tetraodontiformes","Molidae","Mola","Mola mola","1986-10-10 11:00:00"
270531038,51.4628454885782,-9.22969071839479,"Chordata","Tetraodontiformes","Molidae","Mola","Mola mola","2012-07-17 10:00:00"
270596216,50.0498649510101,-5.58001428712663,"Chordata","Tetraodontiformes","Molidae","Mola","Mola mola","2012-09-16 10:00:00"
270717298,50.3175613118388,-5.25863897604276,"Chordata","Tetraodontiformes","Molidae","Mola","Mola mola","2004-10-20 10:00:00"
270615479,51.6977575415833,-5.25268804475233,"Chordata","Tetraodontiformes","Molidae","Mola","Mola mola","2004-08-28 10:00:00"
270512597,58.6109955702987,-3.03370716999403,"Chordata","Tetraodontiformes","Molidae","Mola","Mola mola","2009-09-27 10:00:00"
270626920,51.8854274355327,-10.3917168792255,"Chordata","Tetraodontiformes","Molidae","Mola","Mola mola","2010-07-05 10:00:00"
270824913,55.384704233054,-7.37750233553118,"Chordata","Tetraodontiformes","Molidae","Mola","Mola mola","2010-09-12 10:00:00"
270697156,52.3212422289611,-10.0689416605465,"Chordata","Tetraodontiformes","Molidae","Mola","Mola mola","2007-09-11 10:00:00"
270628990,50.3103183747922,-4.13709213516744,"Chordata","Tetraodontiformes","Molidae","Mola","Mola mola","2010-07-22 10:00:00"
270533225,53.1033309250172,-9.59703429218993,"Chordata","Tetraodontiformes","Molidae","Mola","Mola mola","2009-07-11 10:00:00"
270790773,49.24814,-2.201713,"Chordata","Tetraodontiformes","Molidae","Mola","Mola mola","2012-08-02 10:00:00"
270564236,49.4529,-2.364136,"Chordata","Tetraodontiformes","Molidae","Mola","Mola mola","2008-06-26 10:00:00"
270691536,50.4615789641835,-3.42242380957309,"Chordata","Tetraodontiformes","Molidae","Mola","Mola mola","2011-08-06 10:00:00"
270820217,56.1820225208751,-2.55181427570231,"Chordata","Tetraodontiformes","Molidae","Mola","Mola mola","2002-09-15 10:00:00"
270511974,51.7349755823008,-10.1767059671212,"Chordata","Tetraodontiformes","Molidae","Mola","Mola mola","2011-07-30 10:00:00"
270759449,52.0313430598962,-5.05665236745594,"Chordata","Tetraodontiformes","Molidae","Mola","Mola mola","2004-08-13 10:00:00"
270585202,52.3230899160286,-10.0660938058576,"Chordata","Tetraodontiformes","Molidae","Mola","Mola mola","2007-09-10 10:00:00"
270725081,50.3324934539765,-3.52958215152212,"Chordata","Tetraodontiformes","Molidae","Mola","Mola mola","2005-06-18 10:00:00"
270498771,50.2134460925969,-3.85940060029793,"Chordata","Tetraodontiformes","Molidae","Mola","Mola mola","2003-07-11 10:00:00"
270764441,50.1909540075741,-4.26487324623447,"Chordata","Tetraodontiformes","Molidae","Mola","Mola mola","2011-07-23 10:00:00"
270660884,50.3416496537649,-5.20124190052242,"Chordata","Tetraodontiformes","Molidae","Mola","Mola mola","2003-09-13 10:00:00"
270511320,50.0006797625723,-5.26506419757597,"Chordata","Tetraodontiformes","Molidae","Mola","Mola mola","2003-08-16 10:00:00"
270815737,50.0416653080076,-5.04850896372511,"Chordata","Tetraodontiformes","Molidae","Mola","Mola mola","2005-08-14 10:00:00"
10946193,48.2999992370605,-125.233329772949,"Chordata","Tetraodontiformes","Molidae","Mola","Mola mola","1997-10-14 03:58:00"
9917637,48.1333351135254,-125.233329772949,"Chordata","Tetraodontiformes","Molidae","Mola","Mola mola","1997-10-15 10:19:59"
4188580,42.2666664123535,-166.183883666992,"Chordata","Tetraodontiformes","Molidae","Mola","Mola mola","1990-07-19 10:00:00"
1081348,36.3499984741211,-122.449996948242,"Chordata","Tetraodontiformes","Molidae","Mola","Mola mola","1965-06-19 08:40:00"
10724650,-34.0332984924316,25.7000007629395,"Chordata","Tetraodontiformes","Molidae","Mola","Mola mola","1958-02-14 11:00:00"
9314083,-33.9000015258789,18.38330078125,"Chordata","Tetraodontiformes","Molidae","Mola","Mola mola","1918-01-16 11:00:00"
3793312,-33.8333015441895,18.4167003631592,"Chordata","Tetraodontiformes","Molidae","Mola","Mola mola","1993-03-15 11:00:00"
9496061,-30.6000003814697,30.5666999816895,"Chordata","Tetraodontiformes","Molidae","Mola","Mola mola",NA
7194579,-34.38330078125,19.1000003814697,"Chordata","Tetraodontiformes","Molidae","Mola","Mola mola","1953-07-02 11:00:00"
759392,-33.8333015441895,18.4167003631592,"Chordata","Tetraodontiformes","Molidae","Mola","Mola mola","1986-03-12 11:00:00"
2254108,-33.8333015441895,18.4167003631592,"Chordata","Tetraodontiformes","Molidae","Mola","Mola mola","1961-04-26 11:00:00"
28003,-36.1699981689453,20.0599994659424,"Chordata","Tetraodontiformes","Molidae","Mola","Mola mola","2005-04-08 07:28:48"
267527368,42.61917,-65.30334,"Chordata","Tetraodontiformes","Molidae","Mola","Mola mola","2008-07-08 10:00:00"
2624244,43.1319999694824,-69.4837455749511,"Chordata","Tetraodontiformes","Molidae","Mola","Mola mola","2005-07-15 05:58:48"
11560362,43.0987434387207,-69.4768409729004,"Chordata","Tetraodontiformes","Molidae","Mola","Mola mola","2005-07-23 04:47:24"
1675136,43.2996654510498,-69.6114196777343,"Chordata","Tetraodontiformes","Molidae","Mola","Mola mola","2005-07-20 03:39:36"
5150307,43.0994148254395,-69.4729957580566,"Chordata","Tetraodontiformes","Molidae","Mola","Mola mola","2005-07-20 05:59:24"
9683946,43.248249053955,-69.5838317871094,"Chordata","Tetraodontiformes","Molidae","Mola","Mola mola","2005-07-20 04:03:36"
4135965,43.2160835266113,-70.0633277893066,"Chordata","Tetraodontiformes","Molidae","Mola","Mola mola","2005-07-21 12:43:48"
2018525,43.1319999694824,-69.4837455749511,"Chordata","Tetraodontiformes","Molidae","Mola","Mola mola","2005-07-15 05:47:24"
1109910,43.0474147796631,-69.4652442932129,"Chordata","Tetraodontiformes","Molidae","Mola","Mola mola","2005-07-21 12:18:00"
8229487,43.197416305542,-69.5481567382812,"Chordata","Tetraodontiformes","Molidae","Mola","Mola mola","2005-07-21 10:39:36"
6403050,43.1121692657471,-70.0809211730957,"Chordata","Tetraodontiformes","Molidae","Mola","Mola mola","2005-07-23 05:39:36"
5210645,43.0474147796631,-69.4564971923828,"Chordata","Tetraodontiformes","Molidae","Mola","Mola mola","2005-07-20 06:12:00"
216011,43.0474147796631,-69.4652442932129,"Chordata","Tetraodontiformes","Molidae","Mola","Mola mola","2005-07-21 12:14:24"
2139619,43.0421581268311,-69.9476890563965,"Chordata","Tetraodontiformes","Molidae","Mola","Mola mola","2005-07-12 04:16:48"
216008,43.3366661071777,-69.612247467041,"Chordata","Tetraodontiformes","Molidae","Mola","Mola mola","2005-07-15 04:08:24"
9663818,43.0458450317383,-69.4699935913086,"Chordata","Tetraodontiformes","Molidae","Mola","Mola mola","2005-07-12 03:49:12"
479036,43.2996654510498,-69.6114196777343,"Chordata","Tetraodontiformes","Molidae","Mola","Mola mola","2005-07-20 03:41:24"
54456,43.048110961914,-69.4539222717285,"Chordata","Tetraodontiformes","Molidae","Mola","Mola mola","2005-07-29 05:24:00"
8088077,43.146499633789,-69.5209999084472,"Chordata","Tetraodontiformes","Molidae","Mola","Mola mola","2005-07-20 05:18:36"
2503179,43.0474147796631,-69.4564971923828,"Chordata","Tetraodontiformes","Molidae","Mola","Mola mola","2005-07-20 06:13:48"
2321738,43.2514095306396,-69.5818176269532,"Chordata","Tetraodontiformes","Molidae","Mola","Mola mola","2005-07-12 01:46:48"
3780144,43.1319999694824,-69.4837455749511,"Chordata","Tetraodontiformes","Molidae","Mola","Mola mola","2005-07-15 05:41:24"
2301336,43.1453304290771,-69.5226669311523,"Chordata","Tetraodontiformes","Molidae","Mola","Mola mola","2005-07-23 04:27:00"
11580308,43.1973304748535,-69.5464172363281,"Chordata","Tetraodontiformes","Molidae","Mola","Mola mola","2005-07-20 04:51:00"
8855817,43.3007507324218,-69.6045837402344,"Chordata","Tetraodontiformes","Molidae","Mola","Mola mola","2005-07-21 09:45:36"
7846051,43.1973304748535,-69.5464172363281,"Chordata","Tetraodontiformes","Molidae","Mola","Mola mola","2005-07-20 05:10:12"
7382794,43.2412509918212,-69.5870819091797,"Chordata","Tetraodontiformes","Molidae","Mola","Mola mola","2005-07-21 09:58:48"
10792971,43.3366661071777,-69.612247467041,"Chordata","Tetraodontiformes","Molidae","Mola","Mola mola","2005-07-15 04:09:36"
6918455,43.201774597168,-69.5493392944336,"Chordata","Tetraodontiformes","Molidae","Mola","Mola mola","2005-07-12 02:16:12"
11115339,43.0994148254395,-69.4729957580566,"Chordata","Tetraodontiformes","Molidae","Mola","Mola mola","2005-07-20 05:57:36"
7946648,43.146499633789,-69.5209999084472,"Chordata","Tetraodontiformes","Molidae","Mola","Mola mola","2005-07-20 05:16:12"
10449807,43.0994148254395,-69.4729957580566,"Chordata","Tetraodontiformes","Molidae","Mola","Mola mola","2005-07-20 05:57:36"
4236765,43.0474147796631,-69.4652442932129,"Chordata","Tetraodontiformes","Molidae","Mola","Mola mola","2005-07-21 12:15:36"
4338124,43.146499633789,-69.5209999084472,"Chordata","Tetraodontiformes","Molidae","Mola","Mola mola","2005-07-20 05:18:00"
9442488,43.0994148254395,-69.4729957580566,"Chordata","Tetraodontiformes","Molidae","Mola","Mola mola","2005-07-20 05:55:12"
9683974,43.1224155426026,-70.1282501220703,"Chordata","Tetraodontiformes","Molidae","Mola","Mola mola","2005-07-20 07:11:24"
7059985,43.3043365478515,-69.2965812683105,"Chordata","Tetraodontiformes","Molidae","Mola","Mola mola","2005-07-15 04:16:48"
8977387,43.1452503204346,-69.5197448730469,"Chordata","Tetraodontiformes","Molidae","Mola","Mola mola","2005-07-21 10:49:12"
8108399,43.2996654510498,-69.6114196777343,"Chordata","Tetraodontiformes","Molidae","Mola","Mola mola","2005-07-20 03:36:36"
1331991,43.1453304290771,-69.5226669311523,"Chordata","Tetraodontiformes","Molidae","Mola","Mola mola","2005-07-23 04:04:48"
4520443,43.1223297119141,-69.7969970703125,"Chordata","Tetraodontiformes","Molidae","Mola","Mola mola","2005-07-20 05:46:12"
4236734,43.1319999694824,-69.4837455749511,"Chordata","Tetraodontiformes","Molidae","Mola","Mola mola","2005-07-15 05:56:24"
2139634,43.0979194641113,-69.4774131774902,"Chordata","Tetraodontiformes","Molidae","Mola","Mola mola","2005-07-28 05:49:48"
6383232,43.0987434387207,-69.4768409729004,"Chordata","Tetraodontiformes","Molidae","Mola","Mola mola","2005-07-23 04:49:12"
2482694,43.1319999694824,-69.4837455749511,"Chordata","Tetraodontiformes","Molidae","Mola","Mola mola","2005-07-15 06:01:48"
11318532,43.0987434387207,-69.4768409729004,"Chordata","Tetraodontiformes","Molidae","Mola","Mola mola","2005-07-23 04:52:12"
1756276,43.0994148254395,-69.4729957580566,"Chordata","Tetraodontiformes","Molidae","Mola","Mola mola","2005-07-20 06:00:36"
6423128,43.248249053955,-69.5838317871094,"Chordata","Tetraodontiformes","Molidae","Mola","Mola mola","2005-07-20 04:10:48"
6813353,43.0472488403321,-69.9580001831055,"Chordata","Tetraodontiformes","Molidae","Mola","Mola mola","2005-07-20 06:53:24"
8734687,43.2996654510498,-69.6114196777343,"Chordata","Tetraodontiformes","Molidae","Mola","Mola mola","2005-07-20 04:00:00"
4378695,43.0994148254395,-69.4729957580566,"Chordata","Tetraodontiformes","Molidae","Mola","Mola mola","2005-07-20 05:58:48"
4196482,43.048110961914,-69.4539222717285,"Chordata","Tetraodontiformes","Molidae","Mola","Mola mola","2005-07-29 05:19:48"
9280635,43.0458450317383,-69.4699935913086,"Chordata","Tetraodontiformes","Molidae","Mola","Mola mola","2005-07-12 03:41:24"
1331940,43.3366661071777,-69.612247467041,"Chordata","Tetraodontiformes","Molidae","Mola","Mola mola","2005-07-15 04:15:36"
705830,43.2996654510498,-69.6114196777343,"Chordata","Tetraodontiformes","Molidae","Mola","Mola mola","2005-07-20 03:28:48"
6139998,43.146499633789,-69.5209999084472,"Chordata","Tetraodontiformes","Molidae","Mola","Mola mola","2005-07-20 05:19:48"
10571105,43.3007507324218,-69.6045837402344,"Chordata","Tetraodontiformes","Molidae","Mola","Mola mola","2005-07-21 09:41:24"
10691700,43.1452503204346,-69.5197448730469,"Chordata","Tetraodontiformes","Molidae","Mola","Mola mola","2005-07-21 11:45:00"
1130244,43.280590057373,-69.5840835571289,"Chordata","Tetraodontiformes","Molidae","Mola","Mola mola","2005-07-15 04:17:24"
10853203,43.2354145050049,-69.5476722717285,"Chordata","Tetraodontiformes","Molidae","Mola","Mola mola","2005-07-15 04:50:24"
10973992,43.248249053955,-69.5838317871094,"Chordata","Tetraodontiformes","Molidae","Mola","Mola mola","2005-07-20 04:19:48"
6099745,43.0474147796631,-69.4564971923828,"Chordata","Tetraodontiformes","Molidae","Mola","Mola mola","2005-07-20 06:16:12"
1634915,43.0474147796631,-69.4564971923828,"Chordata","Tetraodontiformes","Molidae","Mola","Mola mola","2005-07-20 06:13:12"
10449759,43.146499633789,-69.5209999084472,"Chordata","Tetraodontiformes","Molidae","Mola","Mola mola","2005-07-20 05:20:24"
11298089,43.0727500915527,-69.1636734008789,"Chordata","Tetraodontiformes","Molidae","Mola","Mola mola","2005-07-20 06:05:24"
9623479,43.2354145050049,-69.5476722717285,"Chordata","Tetraodontiformes","Molidae","Mola","Mola mola","2005-07-15 04:47:24"
7402755,43.0968036651611,-69.4776649475098,"Chordata","Tetraodontiformes","Molidae","Mola","Mola mola","2005-07-29 05:07:48"
9199533,43.0472488403321,-69.9580001831055,"Chordata","Tetraodontiformes","Molidae","Mola","Mola mola","2005-07-20 06:42:00"
6565422,43.0474147796631,-69.4564971923828,"Chordata","Tetraodontiformes","Molidae","Mola","Mola mola","2005-07-20 06:15:36"
6160283,43.197416305542,-69.5481567382812,"Chordata","Tetraodontiformes","Molidae","Mola","Mola mola","2005-07-21 10:42:36"
4358457,43.0474147796631,-69.4564971923828,"Chordata","Tetraodontiformes","Molidae","Mola","Mola mola","2005-07-20 06:09:00"
2139620,43.0850009918213,-69.9654197692871,"Chordata","Tetraodontiformes","Molidae","Mola","Mola mola","2005-07-15 06:56:24"
9925885,43.280590057373,-69.5840835571289,"Chordata","Tetraodontiformes","Molidae","Mola","Mola mola","2005-07-15 04:27:00"
2563314,43.048110961914,-69.4539222717285,"Chordata","Tetraodontiformes","Molidae","Mola","Mola mola","2005-07-29 05:24:00"
2220591,43.0474147796631,-69.4564971923828,"Chordata","Tetraodontiformes","Molidae","Mola","Mola mola","2005-07-20 06:21:00"
11298109,43.1452503204346,-69.5197448730469,"Chordata","Tetraodontiformes","Molidae","Mola","Mola mola","2005-07-21 11:14:24"
6302056,43.1996192932128,-69.5437355041504,"Chordata","Tetraodontiformes","Molidae","Mola","Mola mola","2005-07-29 04:18:36"
9442507,43.1223297119141,-69.7969970703125,"Chordata","Tetraodontiformes","Molidae","Mola","Mola mola","2005-07-20 05:46:12"
256354,43.1494159698486,-69.5118713378906,"Chordata","Tetraodontiformes","Molidae","Mola","Mola mola","2005-07-11 12:13:12"
4944979,43.2412509918212,-69.5870819091797,"Chordata","Tetraodontiformes","Molidae","Mola","Mola mola","2005-07-21 10:00:36"
1594635,43.0474147796631,-69.4564971923828,"Chordata","Tetraodontiformes","Molidae","Mola","Mola mola","2005-07-20 06:10:12"
6139993,43.146499633789,-69.5209999084472,"Chordata","Tetraodontiformes","Molidae","Mola","Mola mola","2005-07-20 05:34:48"
540460,43.2996654510498,-69.6114196777343,"Chordata","Tetraodontiformes","Molidae","Mola","Mola mola","2005-07-20 03:59:24"
806973,43.0912742614746,-69.4772644042968,"Chordata","Tetraodontiformes","Molidae","Mola","Mola mola","2005-07-21 11:58:12"
5573988,43.2412509918212,-69.5870819091797,"Chordata","Tetraodontiformes","Molidae","Mola","Mola mola","2005-07-21 09:57:36"
9401964,43.0912742614746,-69.4772644042968,"Chordata","Tetraodontiformes","Molidae","Mola","Mola mola","2005-07-21 12:07:12"
4884250,43.3366661071777,-69.612247467041,"Chordata","Tetraodontiformes","Molidae","Mola","Mola mola","2005-07-15 04:09:00"
9442499,43.0474147796631,-69.4564971923828,"Chordata","Tetraodontiformes","Molidae","Mola","Mola mola","2005-07-20 06:12:36"
4904724,43.0994148254395,-69.4729957580566,"Chordata","Tetraodontiformes","Molidae","Mola","Mola mola","2005-07-20 05:56:24"
4317867,43.0719013214111,-69.1746597290039,"Chordata","Tetraodontiformes","Molidae","Mola","Mola mola","2005-07-11 12:58:48"
5130237,43.0458450317383,-69.4699935913086,"Chordata","Tetraodontiformes","Molidae","Mola","Mola mola","2005-07-12 04:04:48"
6261839,43.1973304748535,-69.5464172363281,"Chordata","Tetraodontiformes","Molidae","Mola","Mola mola","2005-07-20 05:11:24"
580934,43.0512104034424,-69.9652252197266,"Chordata","Tetraodontiformes","Molidae","Mola","Mola mola","2005-07-29 05:46:48"
2160051,43.2475795745849,-69.5817489624023,"Chordata","Tetraodontiformes","Molidae","Mola","Mola mola","2005-07-23 03:15:36"
8633557,43.0799503326416,-69.4601974487305,"Chordata","Tetraodontiformes","Molidae","Mola","Mola mola","2005-07-15 06:06:36"
1311667,43.3366661071777,-69.612247467041,"Chordata","Tetraodontiformes","Molidae","Mola","Mola mola","2005-07-15 04:11:24"
4985296,43.280590057373,-69.5840835571289,"Chordata","Tetraodontiformes","Molidae","Mola","Mola mola","2005-07-15 04:18:00"
5634542,43.3366661071777,-69.612247467041,"Chordata","Tetraodontiformes","Molidae","Mola","Mola mola","2005-07-15 04:08:24"
5150295,43.0458450317383,-69.4699935913086,"Chordata","Tetraodontiformes","Molidae","Mola","Mola mola","2005-07-12 03:41:24"
6484213,43.1452503204346,-69.5197448730469,"Chordata","Tetraodontiformes","Molidae","Mola","Mola mola","2005-07-21 11:14:24"
11135687,43.1121692657471,-70.0809211730957,"Chordata","Tetraodontiformes","Molidae","Mola","Mola mola","2005-07-23 05:39:00"
438460,43.2354145050049,-69.5476722717285,"Chordata","Tetraodontiformes","Molidae","Mola","Mola mola","2005-07-15 04:55:48"
9422171,43.146499633789,-69.5209999084472,"Chordata","Tetraodontiformes","Molidae","Mola","Mola mola","2005-07-20 05:31:12"
1311671,43.0912742614746,-69.4772644042968,"Chordata","Tetraodontiformes","Molidae","Mola","Mola mola","2005-07-21 12:03:36"
10107185,43.0799503326416,-69.4601974487305,"Chordata","Tetraodontiformes","Molidae","Mola","Mola mola","2005-07-15 06:15:00"
7342460,43.2996654510498,-69.6114196777343,"Chordata","Tetraodontiformes","Molidae","Mola","Mola mola","2005-07-20 03:30:36"
5089791,43.0912742614746,-69.4772644042968,"Chordata","Tetraodontiformes","Molidae","Mola","Mola mola","2005-07-21 11:57:36"
8189310,43.048110961914,-69.4539222717285,"Chordata","Tetraodontiformes","Molidae","Mola","Mola mola","2005-07-29 05:30:36"
5533854,43.2412509918212,-69.5870819091797,"Chordata","Tetraodontiformes","Molidae","Mola","Mola mola","2005-07-21 09:55:12"
665526,43.248249053955,-69.5838317871094,"Chordata","Tetraodontiformes","Molidae","Mola","Mola mola","2005-07-20 04:10:48"
